"","keyid","year","language","country","n"
"4158","lastelepostimeheli",1904,"Estonian","Estonia",12
"4159","lastelepostimeheli",1905,"Estonian","Estonia",12
"4160","lastelepostimeheli",1906,"Estonian","Estonia",12
"4161","lastelepostimeheli",1932,"Estonian","Estonia",12
"4162","lastelepostimeheli",1935,"Estonian","Estonia",12
"4163","lastelepostimeheli",1936,"Estonian","Estonia",12
"4164","leole",2001,"Estonian","Estonia",12
"4165","leole",2005,"Estonian","Estonia",12
"4166","leole",2015,"Estonian","Estonia",12
"4167","leole",2016,"Estonian","Estonia",12
"4168","leole",2021,"Estonian","Estonia",12
"4169","liivimaarus",1898,"Russian","Estonia",12
"4170","liivimaarus",1899,"Russian","Estonia",12
"4171","lobusajawiide",1907,"Estonian","Estonia",12
"4172","lohusuu",2014,"Estonian","Estonia",12
"4173","lohusuu",2015,"Estonian","Estonia",12
"4174","lohusuu",2016,"Estonian","Estonia",12
"4175","loksaelu",2014,"Estonian","Estonia",12
"4176","loksaelu",2016,"Estonian","Estonia",12
"4177","loksaelu",2017,"Estonian","Estonia",12
"4178","loksaelu",2019,"Estonian","Estonia",12
"4179","loksaelurus",2015,"Russian","Estonia",12
"4180","loksaelurus",2016,"Russian","Estonia",12
"4181","loksaelurus",2017,"Russian","Estonia",12
"4182","loksaelurus",2019,"Russian","Estonia",12
"4183","lounamulgimaa",2005,"Estonian","Estonia",12
"4184","lp",2012,"Estonian","Estonia",12
"4185","maawalla",1874,"Estonian","Estonia",12
"4186","maawalla",1875,"Estonian","Estonia",12
"4187","maawalla",1876,"Estonian","Estonia",12
"4188","maawalla",1877,"Estonian","Estonia",12
"4189","maawalla",1878,"Estonian","Estonia",12
"4190","maawalla",1879,"Estonian","Estonia",12
"4191","maawalla",1880,"Estonian","Estonia",12
"4192","maawalla",1881,"Estonian","Estonia",12
"4193","maawalla",1882,"Estonian","Estonia",12
"4194","maawalla",1883,"Estonian","Estonia",12
"4195","maawalla",1884,"Estonian","Estonia",12
"4196","maawalla",1885,"Estonian","Estonia",12
"4197","maawalla",1886,"Estonian","Estonia",12
"4198","maawalla",1887,"Estonian","Estonia",12
"4199","maawalla",1888,"Estonian","Estonia",12
"4200","maawalla",1889,"Estonian","Estonia",12
"4201","maaylikool",2012,"Estonian","Estonia",12
"4202","maaylikool",2014,"Estonian","Estonia",12
"4203","mehkamaa",2008,"Estonian","Estonia",12
"4204","mehkamaa",2009,"Estonian","Estonia",12
"4205","mehkamaa",2014,"Estonian","Estonia",12
"4206","mehkamaa",2015,"Estonian","Estonia",12
"4207","mehkamaa",2016,"Estonian","Estonia",12
"4208","mehkamaa",2017,"Estonian","Estonia",12
"4209","meiekodumaksa",2014,"Estonian","Estonia",12
"4210","meiekodumaksa",2016,"Estonian","Estonia",12
"4211","mlmetsaleht",2018,"Estonian","Estonia",12
"4212","muhulane",1990,"Estonian","Estonia",12
"4213","muhulane",1991,"Estonian","Estonia",12
"4214","muhulane",1992,"Estonian","Estonia",12
"4215","muhulane",1994,"Estonian","Estonia",12
"4216","muhulane",1995,"Estonian","Estonia",12
"4217","muhulane",1996,"Estonian","Estonia",12
"4218","muhulane",1997,"Estonian","Estonia",12
"4219","muhulane",1998,"Estonian","Estonia",12
"4220","muhulane",1999,"Estonian","Estonia",12
"4221","muhulane",2000,"Estonian","Estonia",12
"4222","muhulane",2001,"Estonian","Estonia",12
"4223","muhulane",2002,"Estonian","Estonia",12
"4224","muhulane",2003,"Estonian","Estonia",12
"4225","muhulane",2005,"Estonian","Estonia",12
"4226","muhulane",2006,"Estonian","Estonia",12
"4227","muhulane",2007,"Estonian","Estonia",12
"4228","muhulane",2008,"Estonian","Estonia",12
"4229","muhulane",2010,"Estonian","Estonia",12
"4230","muhulane",2011,"Estonian","Estonia",12
"4231","muhulane",2012,"Estonian","Estonia",12
"4232","muhulane",2013,"Estonian","Estonia",12
"4233","muhulane",2014,"Estonian","Estonia",12
"4234","muhulane",2015,"Estonian","Estonia",12
"4235","muhulane",2016,"Estonian","Estonia",12
"4236","muhulane",2017,"Estonian","Estonia",12
"4237","muhulane",2018,"Estonian","Estonia",12
"4238","muhulane",2019,"Estonian","Estonia",12
"4239","muhulane",2021,"Estonian","Estonia",12
"4240","mustamaeleht",2015,"Estonian","Estonia",12
"4241","mustamaelehtvene",2015,"Russian","Estonia",12
"4242","naestetoojaelu",1912,"Estonian","Estonia",12
"4243","naestetoojaelu",1913,"Estonian","Estonia",12
"4244","naestetoojaelu",1914,"Estonian","Estonia",12
"4245","naestetoojaelu",1915,"Estonian","Estonia",12
"4246","naestetoojaelu",1919,"Estonian","Estonia",12
"4247","naestetoojaelu",1920,"Estonian","Estonia",12
"4248","naestetoojaelu",1921,"Estonian","Estonia",12
"4249","naestetoojaelu",1922,"Estonian","Estonia",12
"4250","naestetoojaelu",1923,"Estonian","Estonia",12
"4251","naestetoojaelu",1924,"Estonian","Estonia",12
"4252","naestetoojaelu",1925,"Estonian","Estonia",12
"4253","naestetoojaelu",1926,"Estonian","Estonia",12
